date,author,title,authors
2003-04-15 19:33:45+00:00,Peter Turney,Self-Replicating Machines in Continuous Space with Virtual Physics,Peter Turney
2003-04-15 19:33:45+00:00,Robert Ewaschuk,Self-Replicating Machines in Continuous Space with Virtual Physics,Robert Ewaschuk
2002-12-08 00:26:49+00:00,Arnold Smith,JohnnyVon: Self-Replicating Automata in Continuous Two-Dimensional Space,Arnold Smith
2002-12-08 00:26:49+00:00,Peter Turney,JohnnyVon: Self-Replicating Automata in Continuous Two-Dimensional Space,Peter Turney
2002-12-08 00:26:49+00:00,Robert Ewaschuk,JohnnyVon: Self-Replicating Automata in Continuous Two-Dimensional Space,Robert Ewaschuk
2002-10-15 04:29:12+00:00,Russell K. Standish,Open-Ended Artificial Evolution,Russell K. Standish
2002-10-15 04:23:27+00:00,Russell K. Standish,Diversity Evolution,Russell K. Standish
2002-09-22 00:30:08+00:00,C. Adami,Ab Initio Modeling of Ecosystems with Artificial Life,C. Adami
2002-05-13 10:49:48+00:00,Jing Han,From Alife Agents to a Kingdom of N Queens,Jing Han
2002-05-13 10:49:48+00:00,Jiming Liu,From Alife Agents to a Kingdom of N Queens,Jiming Liu
2002-05-13 10:49:48+00:00,Qingsheng Cai,From Alife Agents to a Kingdom of N Queens,Qingsheng Cai
2001-03-16 23:23:24+00:00,Torbjörn Lundh,In search of an evolutionary coding style,Torbjörn Lundh
2000-01-10 03:13:29+00:00,Russell K. Standish,Some Techniques for the Measurement of Complexity in Tierra,Russell K. Standish
2000-01-10 02:59:21+00:00,Russell K. Standish,Evolution in the Multiverse,Russell K. Standish
1999-03-05 01:09:04+00:00,Christoph Adami,Critical and Near-Critical Branching Processes,Christoph Adami
1999-03-05 01:09:04+00:00,Johan Chu,Critical and Near-Critical Branching Processes,Johan Chu
1998-12-11 20:51:38+00:00,Babak Hodjat,The Self-Organizing Symbiotic Agent,Babak Hodjat
1998-12-11 20:51:38+00:00,Makoto Amamiya,The Self-Organizing Symbiotic Agent,Makoto Amamiya
1998-09-23 11:01:55+00:00,Peter J Bentley,Aspects of Evolutionary Design by Computers,Peter J Bentley
1997-02-04 18:37:29+00:00,M. E. J. Newman,"Comment on ""Self-organized criticality in living systems"" by C. Adami",M. E. J. Newman
1997-02-04 18:37:29+00:00,Simon M. Fraser,"Comment on ""Self-organized criticality in living systems"" by C. Adami",Simon M. Fraser
1997-02-04 18:37:29+00:00,Kim Sneppen,"Comment on ""Self-organized criticality in living systems"" by C. Adami",Kim Sneppen
1997-02-04 18:37:29+00:00,William A. Tozier,"Comment on ""Self-organized criticality in living systems"" by C. Adami",William A. Tozier
1996-05-14 20:16:24+00:00,Johan Chu,Propagation of Information in Populations of Self-Replicating Code,Johan Chu
1996-05-14 20:16:24+00:00,Chris Adami,Propagation of Information in Populations of Self-Replicating Code,Chris Adami
1994-12-27 00:00:07+00:00,Dan Ashlock,Preferential Partner Selection in an Evolutionary Study of Prisoner's Dilemma,Dan Ashlock
1994-12-27 00:00:07+00:00,Mark D. Smucker,Preferential Partner Selection in an Evolutionary Study of Prisoner's Dilemma,Mark D. Smucker
1994-12-27 00:00:07+00:00,E. Ann Stanley,Preferential Partner Selection in an Evolutionary Study of Prisoner's Dilemma,E. Ann Stanley
1994-12-27 00:00:07+00:00,Leigh Tesfatsion,Preferential Partner Selection in an Evolutionary Study of Prisoner's Dilemma,Leigh Tesfatsion
1994-05-16 21:29:34+00:00,Chris Adami,"Evolutionary Learning in the 2D Artificial Life System ""Avida""",Chris Adami
1994-05-16 21:29:34+00:00,C. Titus Brown,"Evolutionary Learning in the 2D Artificial Life System ""Avida""",C. Titus Brown
1993-06-11 03:26:04+00:00,Mark M. Millonas,"Swarms, Phase Transitions, and Collective Intelligence",Mark M. Millonas
