source,target,community
Jayd Matyas,Ramona Comanescu,32
Jayd Matyas,Joel Z. Leibo,32
Jayd Matyas,Yiran Mao,32
Jayd Matyas,DJ Strouse,32
Jayd Matyas,Dean Mobbs,32
Jayd Matyas,Raphael Köster,32
Jayd Matyas,Sukhdeep Singh,32
Jayd Matyas,Julia Haas,32
Jayd Matyas,Michael B. Johanson,32
Jayd Matyas,Udari Madhushani,32
Jayd Matyas,Igor Mordatch,32
Jayd Matyas,Peter Sunehag,32
Yiran Mao,Kavya Kopparapu,32
Yiran Mao,Ramona Comanescu,32
Yiran Mao,Joel Z. Leibo,32
Yiran Mao,DJ Strouse,32
Yiran Mao,Dean Mobbs,32
Yiran Mao,Raphael Köster,32
Yiran Mao,Sukhdeep Singh,32
Yiran Mao,Julia Haas,32
Yiran Mao,Michael B. Johanson,32
Yiran Mao,Udari Madhushani,32
Yiran Mao,Igor Mordatch,32
Yiran Mao,Peter Sunehag,32
Peter Sunehag,Kavya Kopparapu,32
Peter Sunehag,Ramona Comanescu,32
Peter Sunehag,Joel Z. Leibo,32
Peter Sunehag,DJ Strouse,32
Peter Sunehag,Dean Mobbs,32
Peter Sunehag,Raphael Köster,32
Peter Sunehag,Julia Haas,32
Peter Sunehag,Michael B. Johanson,32
Peter Sunehag,Udari Madhushani,32
Peter Sunehag,Igor Mordatch,32
Peter Sunehag,Sukhdeep Singh,32
Raphael Köster,Kavya Kopparapu,32
Raphael Köster,Ramona Comanescu,32
Raphael Köster,Joel Z. Leibo,32
Raphael Köster,DJ Strouse,32
Raphael Köster,Dean Mobbs,32
Raphael Köster,Julia Haas,32
Raphael Köster,Sukhdeep Singh,32
Raphael Köster,Michael B. Johanson,32
Raphael Köster,Udari Madhushani,32
Raphael Köster,Igor Mordatch,32
Udari Madhushani,Kavya Kopparapu,32
Udari Madhushani,Ramona Comanescu,32
Udari Madhushani,Joel Z. Leibo,32
Udari Madhushani,DJ Strouse,32
Udari Madhushani,Dean Mobbs,32
Udari Madhushani,Sukhdeep Singh,32
Udari Madhushani,Julia Haas,32
Udari Madhushani,Michael B. Johanson,32
Udari Madhushani,Igor Mordatch,32
Kavya Kopparapu,Ramona Comanescu,32
Kavya Kopparapu,Joel Z. Leibo,32
Kavya Kopparapu,DJ Strouse,32
Kavya Kopparapu,Dean Mobbs,32
Kavya Kopparapu,Sukhdeep Singh,32
Kavya Kopparapu,Julia Haas,32
Kavya Kopparapu,Michael B. Johanson,32
